2022-05-19 14:05:385 INFO  CheckOutPage :53 - enter Last name : [[ChromeDriver: chrome on WINDOWS (9715723dc8cde7b8d073dcf42ebded1e)] -> xpath: //input[@id='last-name']]
2022-05-19 14:05:486 INFO  CheckOutPage :58 - enter Postcode : [[ChromeDriver: chrome on WINDOWS (9715723dc8cde7b8d073dcf42ebded1e)] -> xpath: //input[@id='postal-code']]
2022-05-19 14:05:557 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (9715723dc8cde7b8d073dcf42ebded1e)] -> xpath: //input[@id='continue']]
2022-05-19 14:05:632 INFO  CheckOutPage :68 - Clicking on Finish Button : [[ChromeDriver: chrome on WINDOWS (9715723dc8cde7b8d073dcf42ebded1e)] -> xpath: //button[@id='finish']]
2022-05-19 14:05:658 INFO  CheckOutPage :72 - Getting Confirm Message : [[ChromeDriver: chrome on WINDOWS (9715723dc8cde7b8d073dcf42ebded1e)] -> xpath: //h2[@class='complete-header']]
2022-05-19 14:05:841 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-19 14:05:615 INFO  ProductPage :33 - Selecting by : [[ChromeDriver: chrome on WINDOWS (8aa60ead3aba9174d5f7d7f9ffd65870)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 14:05:699 INFO  ProductPage :43 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (8aa60ead3aba9174d5f7d7f9ffd65870)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-19 14:05:756 INFO  ProductPage :38 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (8aa60ead3aba9174d5f7d7f9ffd65870)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
2022-05-19 14:05:826 INFO  ProductPage :48 - Clicking On Shopping Cart Button  : [[ChromeDriver: chrome on WINDOWS (8aa60ead3aba9174d5f7d7f9ffd65870)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 14:05:884 INFO  CheckOutPage :42 - Clicking on Checkout button : [[ChromeDriver: chrome on WINDOWS (8aa60ead3aba9174d5f7d7f9ffd65870)] -> xpath: //button[@id='checkout']]
2022-05-19 14:05:975 INFO  CheckOutPage :48 - enter first name : [[ChromeDriver: chrome on WINDOWS (8aa60ead3aba9174d5f7d7f9ffd65870)] -> xpath: //input[@id='first-name']]
2022-05-19 14:05:56 INFO  CheckOutPage :53 - enter Last name : [[ChromeDriver: chrome on WINDOWS (8aa60ead3aba9174d5f7d7f9ffd65870)] -> xpath: //input[@id='last-name']]
2022-05-19 14:05:157 INFO  CheckOutPage :58 - enter Postcode : [[ChromeDriver: chrome on WINDOWS (8aa60ead3aba9174d5f7d7f9ffd65870)] -> xpath: //input[@id='postal-code']]
2022-05-19 14:05:223 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (8aa60ead3aba9174d5f7d7f9ffd65870)] -> xpath: //input[@id='continue']]
2022-05-19 14:05:283 INFO  CheckOutPage :68 - Clicking on Finish Button : [[ChromeDriver: chrome on WINDOWS (8aa60ead3aba9174d5f7d7f9ffd65870)] -> xpath: //button[@id='finish']]
2022-05-19 14:05:302 INFO  CheckOutPage :72 - Getting Confirm Message : [[ChromeDriver: chrome on WINDOWS (8aa60ead3aba9174d5f7d7f9ffd65870)] -> xpath: //h2[@class='complete-header']]
